model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
LCM_2.5M,LCM_9.4M,1420,0.9573 ± 0.1036,0.9624 ± 0.0959,7.326349949690796e-08,0.002380952380952381,Yes
LCM_2.5M,LCM_12.2M,1420,0.9573 ± 0.1036,0.9636 ± 0.0929,0.9485627251960734,0.002380952380952381,No
LCM_2.5M,LCM_24M,1420,0.9573 ± 0.1036,0.9349 ± 0.1360,2.5501048742825693e-14,0.002380952380952381,Yes
LCM_2.5M,PCMCI,1420,0.9573 ± 0.1036,0.9466 ± 0.1336,6.59148165051004e-22,0.002380952380952381,Yes
LCM_2.5M,DYNOTEARS,1040,0.9592 ± 0.0971,0.5408 ± 0.1882,1.2441675842375558e-167,0.002380952380952381,Yes
LCM_2.5M,VARLINGAM,1040,0.9592 ± 0.0971,0.8020 ± 0.1219,3.4457803207522824e-166,0.002380952380952381,Yes
LCM_9.4M,LCM_12.2M,1420,0.9624 ± 0.0959,0.9636 ± 0.0929,1.6746616241110663e-10,0.002380952380952381,Yes
LCM_9.4M,LCM_24M,1420,0.9624 ± 0.0959,0.9349 ± 0.1360,0.025260283493481923,0.002380952380952381,No
LCM_9.4M,PCMCI,1420,0.9624 ± 0.0959,0.9466 ± 0.1336,3.761592871317447e-19,0.002380952380952381,Yes
LCM_9.4M,DYNOTEARS,1040,0.9640 ± 0.0929,0.5408 ± 0.1882,9.37630409805986e-168,0.002380952380952381,Yes
LCM_9.4M,VARLINGAM,1040,0.9640 ± 0.0929,0.8020 ± 0.1219,1.8153696892862177e-166,0.002380952380952381,Yes
LCM_12.2M,LCM_24M,1420,0.9636 ± 0.0929,0.9349 ± 0.1360,0.00010004751793737836,0.002380952380952381,Yes
LCM_12.2M,PCMCI,1420,0.9636 ± 0.0929,0.9466 ± 0.1336,3.925217096238629e-23,0.002380952380952381,Yes
LCM_12.2M,DYNOTEARS,1040,0.9661 ± 0.0883,0.5408 ± 0.1882,2.49301217765105e-168,0.002380952380952381,Yes
LCM_12.2M,VARLINGAM,1040,0.9661 ± 0.0883,0.8020 ± 0.1219,5.522863728653341e-169,0.002380952380952381,Yes
LCM_24M,PCMCI,1420,0.9349 ± 0.1360,0.9466 ± 0.1336,3.0948606858543365e-31,0.002380952380952381,Yes
LCM_24M,DYNOTEARS,1040,0.9428 ± 0.1207,0.5408 ± 0.1882,1.1687659801393464e-164,0.002380952380952381,Yes
LCM_24M,VARLINGAM,1040,0.9428 ± 0.1207,0.8020 ± 0.1219,5.246883646723579e-150,0.002380952380952381,Yes
PCMCI,DYNOTEARS,1040,0.9556 ± 0.1191,0.5408 ± 0.1882,9.597372736532095e-166,0.002380952380952381,Yes
PCMCI,VARLINGAM,1040,0.9556 ± 0.1191,0.8020 ± 0.1219,2.2881470229053306e-151,0.002380952380952381,Yes
DYNOTEARS,VARLINGAM,1040,0.5408 ± 0.1882,0.8020 ± 0.1219,1.1162332145880556e-138,0.002380952380952381,Yes
