model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
LCM_2.5M,LCM_9.4M,54,0.9544 ± 0.0335,0.9102 ± 0.0936,0.15025120888791726,0.002380952380952381,No
LCM_2.5M,LCM_12.2M,54,0.9544 ± 0.0335,0.9125 ± 0.0936,0.007238340618576908,0.002380952380952381,No
LCM_2.5M,LCM_24M,54,0.9544 ± 0.0335,0.8292 ± 0.1753,1.2937693424663489e-05,0.002380952380952381,Yes
LCM_2.5M,PCMCI,54,0.9544 ± 0.0335,0.5565 ± 0.2148,1.6256984569330967e-10,0.002380952380952381,Yes
LCM_2.5M,DYNOTEARS,54,0.9544 ± 0.0335,0.6945 ± 0.2318,8.613745836139541e-07,0.002380952380952381,Yes
LCM_2.5M,VARLINGAM,45,0.9522 ± 0.0361,0.5516 ± 0.1759,5.684341886080802e-14,0.002380952380952381,Yes
LCM_9.4M,LCM_12.2M,54,0.9102 ± 0.0936,0.9125 ± 0.0936,0.768426615126209,0.002380952380952381,No
LCM_9.4M,LCM_24M,54,0.9102 ± 0.0936,0.8292 ± 0.1753,0.04917119844892426,0.002380952380952381,No
LCM_9.4M,PCMCI,54,0.9102 ± 0.0936,0.5565 ± 0.2148,1.7198462727875601e-10,0.002380952380952381,Yes
LCM_9.4M,DYNOTEARS,54,0.9102 ± 0.0936,0.6945 ± 0.2318,8.609731826245959e-07,0.002380952380952381,Yes
LCM_9.4M,VARLINGAM,45,0.8976 ± 0.0976,0.5516 ± 0.1759,5.1778086014062785e-09,0.002380952380952381,Yes
LCM_12.2M,LCM_24M,54,0.9125 ± 0.0936,0.8292 ± 0.1753,0.008956799962800204,0.002380952380952381,No
LCM_12.2M,PCMCI,54,0.9125 ± 0.0936,0.5565 ± 0.2148,1.7195138587965284e-10,0.002380952380952381,Yes
LCM_12.2M,DYNOTEARS,54,0.9125 ± 0.0936,0.6945 ± 0.2318,3.5377822032473495e-06,0.002380952380952381,Yes
LCM_12.2M,VARLINGAM,45,0.9126 ± 0.0761,0.5516 ± 0.1759,5.176362783871986e-09,0.002380952380952381,Yes
LCM_24M,PCMCI,54,0.8292 ± 0.1753,0.5565 ± 0.2148,9.540025086662706e-09,0.002380952380952381,Yes
LCM_24M,DYNOTEARS,54,0.8292 ± 0.1753,0.6945 ± 0.2318,0.0032774229706473935,0.002380952380952381,No
LCM_24M,VARLINGAM,45,0.8227 ± 0.1669,0.5516 ± 0.1759,1.793997057575325e-07,0.002380952380952381,Yes
PCMCI,DYNOTEARS,54,0.5565 ± 0.2148,0.6945 ± 0.2318,0.03955186195620758,0.002380952380952381,No
PCMCI,VARLINGAM,45,0.5523 ± 0.1940,0.5516 ± 0.1759,0.9422429713713639,0.002380952380952381,No
DYNOTEARS,VARLINGAM,45,0.6408 ± 0.2121,0.5516 ± 0.1759,0.10671852197967073,0.002380952380952381,No
