model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
LCM_2.5M,LCM_9.4M,284,0.7725 ± 0.1780,0.7685 ± 0.1717,0.3638333445476092,0.002380952380952381,No
LCM_2.5M,LCM_12.2M,284,0.7725 ± 0.1780,0.7734 ± 0.1708,0.11138335555823049,0.002380952380952381,No
LCM_2.5M,LCM_24M,284,0.7725 ± 0.1780,0.7283 ± 0.1839,9.897269291923667e-22,0.002380952380952381,Yes
LCM_2.5M,PCMCI,284,0.7725 ± 0.1780,0.4377 ± 0.0963,2.144321155445816e-45,0.002380952380952381,Yes
LCM_2.5M,DYNOTEARS,284,0.7725 ± 0.1780,0.5593 ± 0.0994,8.790883976334356e-41,0.002380952380952381,Yes
LCM_2.5M,VARLINGAM,284,0.7725 ± 0.1780,0.7003 ± 0.1363,3.859986166207339e-19,0.002380952380952381,Yes
LCM_9.4M,LCM_12.2M,284,0.7685 ± 0.1717,0.7734 ± 0.1708,0.015472065727771187,0.002380952380952381,No
LCM_9.4M,LCM_24M,284,0.7685 ± 0.1717,0.7283 ± 0.1839,1.0715466886670607e-14,0.002380952380952381,Yes
LCM_9.4M,PCMCI,284,0.7685 ± 0.1717,0.4377 ± 0.0963,4.529025391385452e-46,0.002380952380952381,Yes
LCM_9.4M,DYNOTEARS,284,0.7685 ± 0.1717,0.5593 ± 0.0994,9.578858379538716e-42,0.002380952380952381,Yes
LCM_9.4M,VARLINGAM,284,0.7685 ± 0.1717,0.7003 ± 0.1363,1.8914359285175527e-21,0.002380952380952381,Yes
LCM_12.2M,LCM_24M,284,0.7734 ± 0.1708,0.7283 ± 0.1839,1.5507821441955024e-17,0.002380952380952381,Yes
LCM_12.2M,PCMCI,284,0.7734 ± 0.1708,0.4377 ± 0.0963,1.433270015752644e-46,0.002380952380952381,Yes
LCM_12.2M,DYNOTEARS,284,0.7734 ± 0.1708,0.5593 ± 0.0994,1.3965093445189653e-42,0.002380952380952381,Yes
LCM_12.2M,VARLINGAM,284,0.7734 ± 0.1708,0.7003 ± 0.1363,4.7776443206578656e-23,0.002380952380952381,Yes
LCM_24M,PCMCI,284,0.7283 ± 0.1839,0.4377 ± 0.0963,3.1643016560117566e-43,0.002380952380952381,Yes
LCM_24M,DYNOTEARS,284,0.7283 ± 0.1839,0.5593 ± 0.0994,5.4512950444173834e-33,0.002380952380952381,Yes
LCM_24M,VARLINGAM,284,0.7283 ± 0.1839,0.7003 ± 0.1363,6.239293371509605e-05,0.002380952380952381,Yes
PCMCI,DYNOTEARS,284,0.4377 ± 0.0963,0.5593 ± 0.0994,1.2491241948843594e-35,0.002380952380952381,Yes
PCMCI,VARLINGAM,284,0.4377 ± 0.0963,0.7003 ± 0.1363,3.092591563751707e-47,0.002380952380952381,Yes
DYNOTEARS,VARLINGAM,284,0.5593 ± 0.0994,0.7003 ± 0.1363,9.781199726936148e-41,0.002380952380952381,Yes
