model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
LCM_2.5M,LCM_9.4M,1946,0.8373 ± 0.1190,0.8406 ± 0.1178,0.00041536709901528255,0.002380952380952381,Yes
LCM_2.5M,LCM_12.2M,1946,0.8373 ± 0.1190,0.8389 ± 0.1170,0.8453514034565737,0.002380952380952381,No
LCM_2.5M,LCM_24M,1946,0.8373 ± 0.1190,0.7784 ± 0.1200,1.8592080522192475e-168,0.002380952380952381,Yes
LCM_2.5M,PCMCI,1946,0.8373 ± 0.1190,0.7218 ± 0.1581,3.7366065285532385e-172,0.002380952380952381,Yes
LCM_2.5M,DYNOTEARS,1004,0.8391 ± 0.1165,0.5453 ± 0.0917,2.826968611164551e-162,0.002380952380952381,Yes
LCM_2.5M,VARLINGAM,1004,0.8391 ± 0.1165,0.6917 ± 0.1322,4.1835035774058934e-132,0.002380952380952381,Yes
LCM_9.4M,LCM_12.2M,1946,0.8406 ± 0.1178,0.8389 ± 0.1170,1.924274389528897e-05,0.002380952380952381,Yes
LCM_9.4M,LCM_24M,1946,0.8406 ± 0.1178,0.7784 ± 0.1200,1.2834470722097689e-167,0.002380952380952381,Yes
LCM_9.4M,PCMCI,1946,0.8406 ± 0.1178,0.7218 ± 0.1581,4.646021171486075e-179,0.002380952380952381,Yes
LCM_9.4M,DYNOTEARS,1004,0.8434 ± 0.1163,0.5453 ± 0.0917,8.599119240512459e-163,0.002380952380952381,Yes
LCM_9.4M,VARLINGAM,1004,0.8434 ± 0.1163,0.6917 ± 0.1322,2.4809438271261706e-140,0.002380952380952381,Yes
LCM_12.2M,LCM_24M,1946,0.8389 ± 0.1170,0.7784 ± 0.1200,7.844330696436135e-172,0.002380952380952381,Yes
LCM_12.2M,PCMCI,1946,0.8389 ± 0.1170,0.7218 ± 0.1581,2.3594048681592393e-178,0.002380952380952381,Yes
LCM_12.2M,DYNOTEARS,1004,0.8409 ± 0.1153,0.5453 ± 0.0917,1.1838425206735128e-163,0.002380952380952381,Yes
LCM_12.2M,VARLINGAM,1004,0.8409 ± 0.1153,0.6917 ± 0.1322,1.747858735202891e-138,0.002380952380952381,Yes
LCM_24M,PCMCI,1946,0.7784 ± 0.1200,0.7218 ± 0.1581,5.190817725846834e-49,0.002380952380952381,Yes
LCM_24M,DYNOTEARS,1004,0.7810 ± 0.1166,0.5453 ± 0.0917,9.708735866310427e-160,0.002380952380952381,Yes
LCM_24M,VARLINGAM,1004,0.7810 ± 0.1166,0.6917 ± 0.1322,2.5665124677313447e-78,0.002380952380952381,Yes
PCMCI,DYNOTEARS,1009,0.7224 ± 0.1606,0.5426 ± 0.0992,3.05428730792302e-136,0.002380952380952381,Yes
PCMCI,VARLINGAM,1009,0.7224 ± 0.1606,0.6883 ± 0.1405,1.54618061164549e-28,0.002380952380952381,Yes
DYNOTEARS,VARLINGAM,1009,0.5426 ± 0.0992,0.6883 ± 0.1405,6.247979748658099e-131,0.002380952380952381,Yes
