model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
LCM_2.5M,LCM_9.4M,100,0.7811 ± 0.1560,0.7929 ± 0.1468,0.27135417346507906,0.002380952380952381,No
LCM_2.5M,LCM_12.2M,100,0.7811 ± 0.1560,0.7946 ± 0.1569,0.4798295108537842,0.002380952380952381,No
LCM_2.5M,LCM_24M,100,0.7811 ± 0.1560,0.7833 ± 0.1458,0.06846541579523484,0.002380952380952381,No
LCM_2.5M,PCMCI,100,0.7811 ± 0.1560,0.7640 ± 0.2327,0.5091522042708133,0.002380952380952381,No
LCM_2.5M,DYNOTEARS,100,0.7811 ± 0.1560,0.5582 ± 0.1464,7.33019884927967e-14,0.002380952380952381,Yes
LCM_2.5M,VARLINGAM,100,0.7811 ± 0.1560,0.7708 ± 0.1720,0.5157927642745471,0.002380952380952381,No
LCM_9.4M,LCM_12.2M,100,0.7929 ± 0.1468,0.7946 ± 0.1569,0.7659610709894442,0.002380952380952381,No
LCM_9.4M,LCM_24M,100,0.7929 ± 0.1468,0.7833 ± 0.1458,0.004545300237734214,0.002380952380952381,No
LCM_9.4M,PCMCI,100,0.7929 ± 0.1468,0.7640 ± 0.2327,0.6799002243935041,0.002380952380952381,No
LCM_9.4M,DYNOTEARS,100,0.7929 ± 0.1468,0.5582 ± 0.1464,1.3777044368110736e-14,0.002380952380952381,Yes
LCM_9.4M,VARLINGAM,100,0.7929 ± 0.1468,0.7708 ± 0.1720,0.04961324326130095,0.002380952380952381,No
LCM_12.2M,LCM_24M,100,0.7946 ± 0.1569,0.7833 ± 0.1458,0.0014189642160793382,0.002380952380952381,Yes
LCM_12.2M,PCMCI,100,0.7946 ± 0.1569,0.7640 ± 0.2327,0.8689128190274791,0.002380952380952381,No
LCM_12.2M,DYNOTEARS,100,0.7946 ± 0.1569,0.5582 ± 0.1464,7.142021422726304e-14,0.002380952380952381,Yes
LCM_12.2M,VARLINGAM,100,0.7946 ± 0.1569,0.7708 ± 0.1720,0.0898324642460774,0.002380952380952381,No
LCM_24M,PCMCI,100,0.7833 ± 0.1458,0.7640 ± 0.2327,0.15360733419330938,0.002380952380952381,No
LCM_24M,DYNOTEARS,100,0.7833 ± 0.1458,0.5582 ± 0.1464,9.121434982066742e-16,0.002380952380952381,Yes
LCM_24M,VARLINGAM,100,0.7833 ± 0.1458,0.7708 ± 0.1720,0.868323089079982,0.002380952380952381,No
PCMCI,DYNOTEARS,100,0.7640 ± 0.2327,0.5582 ± 0.1464,2.0266470752209367e-10,0.002380952380952381,Yes
PCMCI,VARLINGAM,100,0.7640 ± 0.2327,0.7708 ± 0.1720,0.12375113542688454,0.002380952380952381,No
DYNOTEARS,VARLINGAM,100,0.5582 ± 0.1464,0.7708 ± 0.1720,1.56460475463729e-14,0.002380952380952381,Yes
