model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
LCM_2.5M,LCM_9.4M,2000,0.7918 ± 0.1482,0.7891 ± 0.1481,9.629511516378205e-08,0.002380952380952381,Yes
LCM_2.5M,LCM_12.2M,2000,0.7918 ± 0.1482,0.7934 ± 0.1455,2.7298417711949995e-15,0.002380952380952381,Yes
LCM_2.5M,LCM_24M,1999,0.7920 ± 0.1481,0.7718 ± 0.1471,1.6928745153122114e-45,0.002380952380952381,Yes
LCM_2.5M,PCMCI,2000,0.7918 ± 0.1482,0.8012 ± 0.1805,1.0183317127893636e-11,0.002380952380952381,Yes
LCM_2.5M,DYNOTEARS,2000,0.7918 ± 0.1482,0.5686 ± 0.1273,4.421492042483642e-277,0.002380952380952381,Yes
LCM_2.5M,VARLINGAM,2000,0.7918 ± 0.1482,0.7895 ± 0.1412,0.010200336021575647,0.002380952380952381,No
LCM_9.4M,LCM_12.2M,2000,0.7891 ± 0.1481,0.7934 ± 0.1455,0.00013794405408900604,0.002380952380952381,Yes
LCM_9.4M,LCM_24M,1999,0.7891 ± 0.1481,0.7718 ± 0.1471,8.909285116597908e-49,0.002380952380952381,Yes
LCM_9.4M,PCMCI,2000,0.7891 ± 0.1481,0.8012 ± 0.1805,5.494879343424376e-14,0.002380952380952381,Yes
LCM_9.4M,DYNOTEARS,2000,0.7891 ± 0.1481,0.5686 ± 0.1273,5.794721490512828e-275,0.002380952380952381,Yes
LCM_9.4M,VARLINGAM,2000,0.7891 ± 0.1481,0.7895 ± 0.1412,0.003994485313128796,0.002380952380952381,No
LCM_12.2M,LCM_24M,1999,0.7936 ± 0.1454,0.7718 ± 0.1471,1.4095886432308775e-55,0.002380952380952381,Yes
LCM_12.2M,PCMCI,2000,0.7934 ± 0.1455,0.8012 ± 0.1805,1.949122422146358e-11,0.002380952380952381,Yes
LCM_12.2M,DYNOTEARS,2000,0.7934 ± 0.1455,0.5686 ± 0.1273,4.3015937722373586e-279,0.002380952380952381,Yes
LCM_12.2M,VARLINGAM,2000,0.7934 ± 0.1455,0.7895 ± 0.1412,4.608030863009401e-06,0.002380952380952381,Yes
LCM_24M,PCMCI,1999,0.7718 ± 0.1471,0.8015 ± 0.1802,6.3827660959015126e-31,0.002380952380952381,Yes
LCM_24M,DYNOTEARS,1999,0.7718 ± 0.1471,0.5685 ± 0.1273,3.346761763463306e-263,0.002380952380952381,Yes
LCM_24M,VARLINGAM,1999,0.7718 ± 0.1471,0.7895 ± 0.1412,3.1014433527609716e-13,0.002380952380952381,Yes
PCMCI,DYNOTEARS,2000,0.8012 ± 0.1805,0.5686 ± 0.1273,7.803629638212382e-237,0.002380952380952381,Yes
PCMCI,VARLINGAM,2000,0.8012 ± 0.1805,0.7895 ± 0.1412,1.5271095972389736e-34,0.002380952380952381,Yes
DYNOTEARS,VARLINGAM,2000,0.5686 ± 0.1273,0.7895 ± 0.1412,1.3566138610789277e-277,0.002380952380952381,Yes
